name,WKT
Starbucks,POINT (-93.39244 44.93638)
Starbucks,POINT (-119.65241 37.33295)
Starbucks,POINT (-123.84554 45.47487)
Starbucks,POINT (-121.64439 39.14742)
Starbucks,POINT (-104.61844 38.32026)
Starbucks,POINT (-122.6885 47.65145)
Starbucks,POINT (-117.37108 34.13717)
Starbucks,POINT (-105.07641 39.88672)
Starbucks,POINT (-121.94304 37.72337)
Starbucks,POINT (-77.55019 38.73266)
Starbucks,POINT (-117.24314 34.04697)
Starbucks,POINT (-93.76658 41.64741)
Starbucks,POINT (-82.97443 39.35403)
Starbucks,POINT (-82.25521 34.89998)
Starbucks,POINT (-122.21173 47.70663)
Starbucks,POINT (-99.23715 19.50743)
Starbucks,POINT (-93.16671 44.94827)
Starbucks,POINT (-77.39335 38.85513)
Starbucks,POINT (-94.5788 39.1826)
Starbucks,POINT (-81.13354 35.26255)
Starbucks,POINT (-81.51742 41.52007)
Starbucks,POINT (-104.97596 39.88377)
Starbucks,POINT (-80.08986 26.52816)
Starbucks,POINT (-85.16541 41.1749)
Starbucks,POINT (-116.21525 43.58934)
Starbucks,POINT (-117.8849 33.71586)
Starbucks,POINT (-81.95042 41.4582)
Starbucks,POINT (-88.22914 40.10835)
Starbucks,POINT (-121.29398 37.91317)
Starbucks,POINT (-93.2894 44.68469)
Starbucks,POINT (-119.78806 36.82184)
Starbucks,POINT (-72.56992 41.76668)
Starbucks,POINT (-76.60406 39.39558)
Starbucks,POINT (-73.68782 42.69405)
Starbucks,POINT (-71.46108 41.7558)
Starbucks,POINT (-77.25942 38.90658)
Starbucks,POINT (-122.55428 45.62124)
Starbucks,POINT (-87.67486 41.83553)
Starbucks,POINT (-82.45905 40.40061)
Starbucks,POINT (-91.45634 44.81767)
Starbucks,POINT (-124.14403 40.80556)
Starbucks,POINT (-81.80648 26.34383)
Starbucks,POINT (-111.86134 40.58149)
Starbucks,POINT (-73.59582 40.81781)
Starbucks,POINT (-122.6681 38.27594)
Starbucks,POINT (-79.12829 43.07042)
Starbucks,POINT (-122.41737 37.77705)
Starbucks,POINT (-73.66073 40.70656)
Starbucks,POINT (-76.31798 39.4585)
Starbucks,POINT (-72.70951 40.91736)
Starbucks,POINT (-82.99777 39.96011)
Starbucks,POINT (-89.02809 42.36734)
Starbucks,POINT (-88.02575 41.94835)
Starbucks,POINT (-122.4873 48.93434)
Starbucks,POINT (-87.59715 41.78983)
Starbucks,POINT (-96.80431 32.79163)
Starbucks,POINT (-76.97923 38.54302)
Starbucks,POINT (-123.17797 49.19748)
Starbucks,POINT (-82.48837 27.98103)
Starbucks,POINT (-93.73709 41.65592)
Starbucks,POINT (-98.62572 29.38169)
Starbucks,POINT (-122.93863 46.13671)
Starbucks,POINT (-81.20023 28.60213)
Starbucks,POINT (-81.09709 36.95877)
Starbucks,POINT (-81.59604 34.28347)
